Gene	D1_Control.	D2_Control.	D3_Control.	D4_Control.	D5.ntr	D6_Control.	D1_Treated.	D2_Treated.	D3_Treated.	D4_Treated.	D5_Treated.	D6_Treated.
Gtf2a2	565.9449	828.2276	591.2897	609.8596	635.51580000000001	661.172	594.6491	579.3409	689.4663	595.4408	619.5773	636.3566
Gtf2b	622.6536	672.8819	448.8105	517.8697	530.39390000000003	542.9181	546.6003	546.6064	492.1872	480.004	541.2228	443.7573
Gtf2e1	744.1994	754.5499	601.1723	499.9335	490.26900000000001	480.6045	752.0908	701.5991	605.4772	512.9775	434.5422	354.4558
Gtf2e2	534.0781	513.9084	531.2868	490.5986	526.96519999999998	563.3318	540.9474	481.5861	543.9535	553.329	448.7275	539.8359
Gtf2f1	983.9367	815.7342	731.0735	647.3051	683.27275000000009	719.2404	815.2023	854.2761	669.9231	643.9791	591.1806	618.0532
Gtf2f2	405.6588	411.8629	329.6559	377.328	421.93594999999999	466.5439	385.4439	319.5335	362.304	354.5044	333.5946	468.378
Gtf2h1	986.3509	1020.7429	910.2372	1011.0785	1068.3333499999999	1125.5882	939.5737	971.8627	1035.1708	994.8721	957.8461	1013.715
Gtf2h2	402.2428	521.1466	388.8397	346.6398	331.91305	317.1863	426.9329	403.2183	376.9568	338.01	267.2042	320.1746
Gtf2h3	813.5169	805.1317	636.1033	590.2506	561.2287	532.2068	694.5687	706.5114	637.7015	673.3348	557.9156	413.6246
Gtf2h4	269.1602	230.8333	208.7704	215.5447	164.79325	114.0418	232.8071	206.2639	191.4067	158.4383	185.1863	95.67
Gtf2h5	655.65	763.4085	532.1379	586.8564	632.60874999999999	678.3611	570.1441	620.8028	568.3599	590.8645	644.4661	575.5716
Gtf2i	4003.268	3601.8831	3578.3547	3540.0494	3322.4609	3104.8724	4255.0271	3593.5927	3878.9605	3567.2629	3552.3532	3560.7164
Gtf2ird1	1690.757	1300.3264	1399.4625	1172.8689	1053.0522000000001	933.2355	1588.942	1478.633	1430.6872	1221.131	1190.5035	1083.4706
Gtf2ird2	317.0361	303.5469	310.8842	339.8996	289.30955	238.7195	343.9961	359.049	317.3872	313.3019	287.2743	252.5471
Gtf3a	117.0059	134.1116	95.835	86.807	97.693600000000004	108.5802	92.3349	110.6337	105.4692	99.8386	91.4642	99.9736
Gtf3c1	4480.4057	3442.1401	3510.2957	2876.4658	2485.4001499999999	2094.3345	4046.7687	3893.4865	3357.4676	3280.5344	2602.9368	1992.5948
Gtf3c2	2329.408	2075.2325	2143.9997	1815.9966	1618.6570999999999	1421.3176	2252.395	2167.244	2145.5421	1779.9476	1620.1866	1531.9874
Gtf3c3	1168.0437	987.9225	976.5846	844.0908	823.60344999999995	803.1161	1035.733	937.6579	971.6955	831.7879	747.8386	680.8316
Gtf3c4	3586.1316	3154.5954	2863.4256	2418.2047	2097.6934999999999	1777.1823	3323.9351	3286.2459	2839.8842	2475.2657	2042.7503	1610.1549
Gtf3c5	743.1704	724.2686	794.7089	808.3839	714.91020000000003	621.4365	726.5942	844.2681	809.5856	819.0082	659.9756	589.3642
Gtf3c6	562.3174	460.7145	379.8594	292.906	279.26049999999998	265.615	555.1495	521.1759	409.1862	341.667	236.3948	283.1824
Gtpbp1	1066.9494	985.2639	941.6359	870.5143	850.24929999999995	829.9843	915.0839	942.67	839.849	862.9464	907.9687	680.8126
Gtpbp10	347.6836	381.734	304.6031	256.3075	255.57260000000002	254.8377	363.7953	323.9773	348.6435	264.7101	265.9509	314.8069
Gtpbp2	976.0635	954.2028	841.2708	918.2582	789.74284999999998	661.2275	880.2158	946.2828	917.0074	873.037	861.684	572.6607
Gtpbp3	441.9675	473.1755	387.9459	419.1289	332.16005000000001	245.1912	413.7349	401.7961	338.8643	386.5958	343.0612	219.0872
Gtpbp4	1288.5254	1069.5556	1105.5889	933.5088	925.29395	917.0791	1205.3667	1203.9105	1107.4376	981.1132	934.1506	939.5097
Gtpbp6	132.8983	122.5037	102.0994	115.8394	99.87639999999999	83.9134	100.8161	138.5885	113.2805	126.44	116.3184	98.4578
Gtpbp8	242.0304	268.9889	235.6293	208.64	229.56079999999997	250.4816	211.083	204.6887	222.6551	204.2563	208.9535	275.5136
Gtse1	501.9338	367.5633	318.9872	204.3137	168.32575	132.3378	417.5708	363.4465	312.5102	199.6386	142.6673	107.6677
Gtsf1	0.008	0.0	0.0	0.0	1.04135	2.0827	0.0	0.0	0.0	0.0	0.0106	1.4089
Gtsf1l	2.2744	1.754	1.7729	2.5716	4.4474	6.3232	3.8044	1.3328	0.967	0.0	0.0643	1.8084
Guca1a	2.3825	3.4762	4.4306	11.2624	13.071249999999999	14.8801	0.8876	4.886	3.8928	2.6818	12.7494	6.7425
Guca1b	0.0054	0.0	0.0	0.0	0.0015499999999999999	0.0031	0.96	0.0	0.0	0.0	0.0072	1.379
Guca2a	0.0221	0.8816	0.8908	0.8417	1.47665	2.1116	0.0	0.6757	0.0	0.9126	1.1762	1.5596
Guca2b	1.1672	1.7737	5.558	1.6974	1.3956	1.0938	0.925	0.5976	1.9544	1.8329	0.0525	0.1548
Gucd1	752.221	863.7189	657.5987	649.8912	639.95534999999995	630.0195	742.6334	768.6183	713.8781	689.8161	607.7522	406.9294
Gucy1a2	625.0407	573.3222	666.5485	660.1001	799.29105000000004	938.482	798.2404	576.4042	689.4581	726.4608	674.1911	926.8288
Gucy1a3	1176.0659	1320.8318	1523.2259	868.7521	775.75199999999995	682.7519	1256.268	1267.4847	1223.6587	884.905	606.7127	723.2435
Gucy1b2	3.4974	1.6704	2.6028	10.3683	11.047049999999999	11.7258	2.7821	1.1372	4.8737	6.4089	12.7563	12.5279
Gucy1b3	314.7888	380.8268	441.7968	272.4963	266.35670000000005	260.2171	316.6418	367.5777	341.8026	296.7868	238.7114	358.6322
Gucy2c	3.3617	0.8346	1.7691	1.6662	2.4348000000000001	3.2034	0.9166	1.3228	2.9343	2.7594	2.3772	3.2115
Gucy2d	0.0176	0.0	0.0	0.8541	0.96090000000000009	1.0677	0.9454	1.535	0.0	0.0	1.1617	1.5127
Gucy2e	4.617	4.3721	9.0066	8.5697	8.5725499999999997	8.5754	1.8299	5.611	4.8715	8.2676	9.3962	9.7532
Gucy2f	3.4124	1.719	3.5877	6.102	5.1914499999999997	4.2809	5.6991	2.7934	1.9429	0.8614	0.0886	4.8077
Gucy2g	0.0978	0.0	0.795	7.7077	12.872999999999999	18.0383	0.8873	1.1372	2.9119	9.2171	8.2347	22.4235
Guf1	1222.7313	1255.9353	1442.4773	1450.6439	1342.4284499999999	1234.213	1221.3533	1139.4687	1503.9341	1355.8212	1388.6328	1282.8766
Guk1	437.4626	561.0913	361.9219	359.4046	375.37260000000003	391.3406	422.2061	434.6216	356.441	379.2441	411.8467	286.5789
Gulo	9.1541	13.3372	10.7274	18.0447	12.278599999999999	6.5125	8.4486	20.4188	18.5818	12.8353	3.7645	4.0809
Gulp1	754.6168	933.739	940.7163	1000.8657	1166.9437	1333.0217	783.1121	811.9124	938.4852	949.9797	935.2921	1258.512
Gusb	364.7734	282.1803	396.0209	387.5827	403.41904999999997	419.2554	290.2273	314.5606	340.8187	414.101	386.9048	412.7172
Gvin1	0	0	0	0	0	0	0	0	0	0	0	0
Gxylt1	1023.7857	748.1915	871.7315	679.6281	725.78514999999993	771.9422	1147.9065	1026.9588	1086.942	698.0085	733.5956	994.8949
Gxylt2	113.8057	171.2337	190.7903	262.4286	310.6825	358.9364	115.8452	159.6171	174.7926	294.1457	264.5742	292.1394
